,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
6536,5042241474645774464,9.173873096783119,128.97944400915787,189.63930054261155,-79.86898316989453,1.0264645
6538,5042242990770348672,8.629793701430714,114.13099787676317,189.36190899216774,-80.10441368666824,0.9939251
6560,5042265698261413504,9.897419119439881,267.4559698535449,188.1888758586371,-79.84493641522248,1.1046124
6561,5042265766980859904,10.584314121701642,132.6542042245047,188.68311542875546,-79.79394554699653,1.1817608
6569,5042275769960692736,8.368482098694322,128.27945121645112,188.0937283208197,-80.513352924282,0.98699
6579,5042289578279570048,9.57506545680097,127.6036618015387,186.98143157243115,-80.24821446364606,1.0358086
6589,5042302914154392704,8.74430350855489,106.80164205001383,186.2571038495917,-80.30667752783204,0.9551945
6590,5042301363669830400,9.500551963498204,117.36275118363008,186.6719067990627,-80.33831140058439,1.0809956
6592,5042308789669290112,9.151096041952076,109.61025879173157,187.61813738190986,-80.16810291992725,1.0726051
6607,5042325656004915712,9.55515210762228,106.62255032565201,186.37969489397483,-80.21020316674493,1.1012306
6610,5042328065482536960,8.205339922158249,112.0236425111656,186.311668217885,-80.03218676200541,1.0032988
6614,5042333249507165696,9.10542144334499,100.11620266723561,185.27081210976195,-80.15187014459276,1.0599136
6616,5042336513682315264,9.044433402133087,106.41880403337295,185.94239192265863,-79.91502770196482,1.1074295
6619,5042340022671484416,8.508666172455737,119.53655678797077,185.3005735451924,-79.98958154961808,1.0884209
6622,5042342118615523328,9.778713065365636,184.41117077624986,184.95378493677944,-79.92837664980556,1.1145935
6624,5042437496953639936,9.429280723941272,256.0556333092605,189.99669333427465,-79.44150000737487,1.0556087
6631,5042466672667051008,9.619040440201765,108.95079237142086,189.88631427553813,-79.0108082729262,1.0427036
6667,5042571263710436736,9.29024224263416,178.64374972834432,188.9742485130174,-78.26869695042122,1.0619698
6680,5042584870166807936,8.779915181689649,102.7364046497944,188.44052515511575,-78.43906114938555,1.0092239
6690,5042605211132020736,9.098939073987392,112.6903809545119,188.72969214589492,-77.76816341109696,1.0552311
6699,5042613728051704832,9.169656933365914,101.2605434139144,187.87909939762918,-78.1136072046175,1.0744324
6700,5042614419541852544,9.21043143471104,125.1261610270824,187.77271829948853,-78.15664895175803,1.0606995
6710,5042627093989981184,10.501391374847945,110.80016298162622,189.4146236782474,-79.42053566084648,1.109705
6711,5042628915056110336,10.186402676069477,144.09225060286929,188.9209794821187,-79.64314236505949,1.2096558
6715,5042632183526750464,10.002394572547328,108.19210503065153,188.4783514018054,-79.56494359136778,1.1357479
6716,5042633179958282624,9.691032101154896,132.95670397005807,189.26382933818644,-79.36002425103874,1.0942936
6722,5042640185050341760,10.356319689023294,122.02609061996547,188.46488216939625,-79.24801200380489,1.170929
6731,5042654517356713984,8.983684266620088,132.98810852826165,187.55478602894374,-79.31742369794524,1.0150871
6737,5042660255433060352,9.989573445158207,119.97769085696257,188.70976168301328,-79.11171916330763,1.0861855
6745,5042673651435554304,10.691172277214253,138.93564201509213,187.75317007949565,-78.9055736096599,1.1700459
6749,5042675133199789696,8.757308611913242,110.22327578694853,187.7125441574532,-78.88452678603731,1.0828514
6751,5042676297135417856,9.474508266556938,176.79044350486,187.45169723279025,-78.87198250503445,1.0791836
6765,5042702586630642688,9.668167131384905,119.9441563065015,185.96606682147478,-79.66704100561458,1.0933781
6767,5042703892300716800,9.491585748577549,108.11457218308738,186.68748485348857,-79.49092190157818,1.1671028
6776,5042717803698749568,9.287248013611535,232.61815617693847,185.0179631118367,-79.81970481826316,1.0621357
6790,5042739450334169728,9.58570147143256,110.47860248856506,186.0743934272203,-79.02924446931964,1.0120144
6802,5042757764074769792,8.1910984911963,359.3756123271967,184.6171529014922,-79.11666615908332,0.9414463
6803,5042758593004629888,8.26861268529311,121.53695770692765,184.9089881325062,-78.98810920072972,0.9472599
6811,5042764395504359296,9.83098953246472,104.50479612796329,184.06981630498004,-78.99847378869813,1.1165638
6815,5042768729126921856,9.463616639941858,196.44104734626694,187.6857522926487,-78.61857751927394,1.091629
6816,5042770820775482880,10.123468409956235,135.40786550699286,187.29455644501215,-78.77880429549604,1.0785389
6823,5042778693451068288,10.00482788072227,239.22011824694502,187.38183947037825,-78.48315132273606,1.212223
6898,5042872628680110336,9.534447326695336,112.96994331018098,184.94150496083057,-78.34754725304728,1.067543
6923,5042906885338961408,10.518734804212436,103.94213214126748,187.04800959613024,-81.63917320779645,1.3240013
6927,5042917639937210368,9.424444472539317,191.50775534156972,186.6321106497701,-81.2279026011103,1.0015526
6929,5042919357924026240,10.194785737273104,269.76174344742634,186.11042764877453,-81.41751256091536,1.1404381
6933,5042923210510608512,8.540923866495888,137.53374244585925,185.4786856045461,-81.27497866393647,0.9887829
6938,5042927917794714624,10.570569806302654,116.82759582427438,185.1351032656764,-81.68117188530672,1.1642456
6943,5042930559198991104,10.324357820020182,133.21722449574423,184.96086874000807,-81.5217960005483,1.1717014
6944,5042934304410235648,9.818940053125871,118.55981544971078,185.4922717919439,-81.34779264638615,1.0808125
6947,5042937229283835392,8.37969026750038,139.4782332904619,184.651294574443,-81.42245150286337,1.0795288
6949,5042941519955379328,9.736689541608264,343.79893929053105,186.5246944995404,-81.12568149485787,1.075737
6950,5042946158520068992,7.994323944764076,129.32158107262515,185.69014034085137,-81.17639602025038,1.0190201
6960,5042951999675639040,8.627098972956148,101.40484080385404,186.1153676270473,-80.83821675867284,1.0073433
6973,5042964712779397760,9.848729878020343,146.24720115754994,184.00339106503503,-81.20136723085272,1.1744175
6986,5042975570456442112,8.808495743751045,167.38776272042713,183.59901903436327,-80.90081743456118,1.0712509
7002,5042988081696616576,9.421806992591733,165.24222340294338,183.61902817691166,-81.34254310251613,1.0380077
7004,5042989005114071296,9.2588477704493,175.75002809868724,183.31844328072725,-81.36173957450144,1.0613995
7006,5042992063130904064,10.11892301696749,113.50972660006308,183.09278675943645,-81.37944788840923,1.1440067
7010,5042994472607918848,9.349614485580858,103.56705905477989,182.6505777846271,-81.74319742336935,1.161684
7015,5043001207116644608,9.370189783000662,106.83996290848933,181.7491560791954,-81.62384302539708,1.0844212
7022,5043018932446542976,9.192364276432048,117.2369202513853,182.5919898451043,-81.22375980688578,1.0493698
7028,5043025465092003456,8.611626236080355,103.9670556368321,182.41703687013526,-81.01692773275073,0.9921074
7038,5043043293500953216,11.001468769217418,116.59191295369358,180.89811369018534,-81.10445432142338,1.1357555
7042,5043048722338956160,8.682827863113783,191.71923490418052,185.68973688148176,-80.62502991676921,0.99401474
7056,5043064596538099712,10.571341610921529,146.25006892628684,184.56131824003265,-80.72798956321182,1.1802998
7064,5043069411197302656,8.741165517253268,115.95858080498247,183.58978100892801,-80.72967521727782,1.0588331
7075,5043085800793096192,10.413368608898807,215.70061185230705,184.58414740603806,-80.1562622381947,1.0364094
7076,5043087514483716608,10.602125328778222,111.76478623651454,184.15082272086377,-80.32166219784939,1.157507
7078,5043088648355098880,8.805144430131008,187.21604032029538,184.31488531093873,-80.18757737409811,1.0096302
7083,5043093978410323072,8.936699328541085,120.2514217338941,184.43563650578687,-79.98887915026476,1.0785198
7101,5043123733944199680,8.26567604429523,118.24447482067187,182.13944338349253,-80.76251015141746,0.96048164
7104,5043128436932507520,9.0681109178552,187.26838659435518,182.62347901255077,-80.44469072193468,1.0519028
7109,5043132495676959616,8.163998289048617,117.1440180103129,181.8894018157152,-80.52251604218361,0.9502945
7115,5043138985372483712,11.950340964863656,106.30271589603234,180.97168590316818,-80.89832716419664,1.262228
7119,5043143486497930112,9.8622533693976,100.59174282890592,181.35519839478795,-80.66772871851151,1.1905231
7138,5043165854687724032,10.43489890040836,102.12981617696364,181.68924809113471,-80.11630509599432,1.105133
7164,5043203414176939264,9.987017736049548,147.20665828937018,179.95885743159624,-81.45246928323944,1.1301289
7183,5043223136667111552,9.218186548129612,323.3799346797278,180.66378922554432,-81.28572884780277,1.0414581
7188,5043231554802711936,9.529330133223265,505.7371201446851,180.4265076373004,-81.1435038852796,1.1097317
7204,5043248356714745344,9.416874771344826,135.02298860708615,177.98709957816536,-81.23960231441903,1.0451565
7209,5043253162782905216,8.195444006468637,141.09298378544713,178.36151150492964,-81.19476401234968,0.9864235
7219,5043262886588207104,9.517728299872061,117.49368562887247,177.12626757073593,-81.83574065172967,1.1070786
7222,5043270209508319744,8.63366561360824,181.6540500762096,177.49001515913392,-81.5114651754193,1.0159874
7229,5043276737858562048,8.119108285993633,157.42602598832528,175.8356039752368,-81.90417566959819,0.93802166
7239,5043292680777171840,9.304496662631419,110.13840089244445,174.798554663821,-81.52067985823292,1.0987558
7248,5043303023058484736,8.684605699765385,149.50122589817346,177.08813774462524,-81.20887754023565,1.0843601
7275,5043334801520958080,10.484304410994998,106.61181650340748,179.37253719411103,-80.83592689259265,1.148407
7302,5043361224159862656,11.664572267394664,186.87390555311535,177.73158199831778,-80.65521183899962,1.095171
7304,5043365656565689088,8.524198314127368,151.09945019081553,179.5683681553795,-80.36749234705968,0.9273205
7310,5043371703879681280,9.23212311255286,108.86015756111337,178.57289764097158,-80.33178956010643,1.0866432
7327,5043387406280137856,9.955065742383884,102.39000622833713,177.8052010014365,-80.38466405621236,0.9944935
7333,5043391907405887744,9.758248262891996,103.43231177300335,178.2880605084115,-80.13803693938446,1.1476116
7353,5043411393673301760,9.49393828576807,250.557839771131,176.65254749018146,-80.58031446082869,0.98058605
7360,5043420773881831936,9.345058088832328,117.8927874512622,175.01814490434475,-80.9966418160179,1.1627312
7361,5043422560588226944,9.188766318043616,111.0964882621384,175.11524348658068,-80.90955666994768,1.0945034
7383,5043442656739480448,10.520356510967915,125.87587793116444,176.91354204984347,-80.28571736719668,1.1054192
7399,5043455958253958656,8.539059517788719,346.1324326374613,174.83464817368971,-80.53801401062819,1.0207529
7401,5043463341302445056,9.858193462189234,177.88903009268333,175.24530176022455,-80.20273617626405,0.9396324
7407,5043469118033995904,7.902491611319817,117.59379660675933,184.49963030839865,-79.83101252573684,0.94610214
7418,5043480697265866496,7.9524949131638785,118.6622735204842,183.98460698966204,-79.42857436210433,0.9901829
7426,5043488355191415296,9.744644356026615,121.37399648233823,182.87292459050792,-79.84337040538205,1.0690403
7428,5043496257931271936,10.483808676244045,140.4957133736061,182.85410262793826,-79.66304125538203,1.1491184
